OBJECTID,estuaryname,stationno,samplecollectiondate,transectreplicate,plotreplicate,habitat,vegetated_cover,meanCGht,maxCGht,raw_total_stems,maybe_stem_density,covertype,scientificname,estimatedcover,percentcovercode,tallestplantheight_cm,latitude,longitude,MEAN_grid_code,MIN_grid_code,MAX_grid_code
143,Newport Bay,1,2023-09-15T00:00:00Z,1,3,Mid marsh,50,NA,NA,0,0,NA,NA,0,NA,NA,33.62221141,-117.8914318,0.083377676,0.029702971,0.145631075
144,Newport Bay,1,2023-09-15T00:00:00Z,1,4,High marsh,60,NA,NA,0,0,NA,NA,0,NA,NA,33.62217344,-117.8914608,0.019446427,0,0.049504951
145,Newport Bay,1,2023-09-15T00:00:00Z,1,5,High marsh,70,NA,NA,0,0,NA,NA,0,NA,NA,33.62213506,-117.8914877,0.102314062,0,0.172413796
146,Newport Bay,1,2023-09-15T00:00:00Z,2,1,Low marsh,40,16.666666666666668,20,3,31.18136851,vegetation,Spartina foliosa,2,1,11,33.62236479,-117.8916543,0.082414403,0.054187194,0.101449274
147,Newport Bay,1,2023-09-15T00:00:00Z,2,2,Mid marsh,75,NA,NA,0,0,NA,NA,0,NA,NA,33.62232469,-117.8916843,0.098544874,0.054187194,0.1557789
148,Newport Bay,1,2023-09-15T00:00:00Z,2,3,High marsh,50,NA,NA,0,0,NA,NA,0,NA,NA,33.62228609,-117.8917117,0.063476621,0,0.103448279
149,Newport Bay,1,2023-09-15T00:00:00Z,2,4,High marsh,15,NA,NA,0,0,NA,NA,0,NA,NA,33.62224755,-117.8917388,0.009774262,0,0.021834061
150,Newport Bay,1,2023-09-15T00:00:00Z,2,5,High marsh,95,NA,NA,0,0,NA,NA,0,NA,NA,33.62220825,-117.8917646,0.03023869,0,0.096774191
151,Newport Bay,1,2023-10-16T00:00:00Z,3,1,Low marsh,15,23.928571428571427,51,14,145.513053,vegetation,Spartina foliosa,10,1,51,33.62248838,-117.8919496,0.028944408,0,0.079999998
152,Newport Bay,1,2023-10-16T00:00:00Z,3,2,Mid marsh,90,NA,NA,0,0,NA,NA,0,NA,NA,33.6224507,-117.8919637,0.122382376,0.014925373,0.220657274
153,Newport Bay,1,2023-10-16T00:00:00Z,3,3,Mid marsh,98,NA,NA,0,0,NA,NA,0,NA,NA,33.6224059,-117.891987,0.187320399,0.165829152,0.209756091
154,Newport Bay,1,2023-10-16T00:00:00Z,3,4,Mid marsh,85,NA,NA,0,0,NA,NA,0,NA,NA,33.62236382,-117.8920066,0.175404476,0.156862751,0.213930354
155,Newport Bay,1,2023-10-16T00:00:00Z,3,5,High marsh,90,NA,NA,0,0,NA,NA,0,NA,NA,33.62231718,-117.8920274,0.151136209,0.094339624,0.184466019
156,Newport Bay,2,2023-09-15T00:00:00Z,1,1,Low marsh,70,90.66666666666667,110,6,62.36273702,vegetation,Spartina foliosa,20,1,82,33.63195587,-117.8858834,0.072738407,0.037037037,0.124260359
157,Newport Bay,2,2023-09-15T00:00:00Z,1,2,Low marsh,50,91,91,15,155.9068425,vegetation,Spartina foliosa,35,1,91,33.63197215,-117.8858327,0.145026851,0.03809524,0.204301074
158,Newport Bay,2,2023-09-15T00:00:00Z,1,3,Low marsh,100,77.6,106,15,155.9068425,vegetation,Spartina foliosa,10,1,106,33.63197892,-117.8857731,0.166772673,0.145728648,0.188679248
159,Newport Bay,2,2023-09-15T00:00:00Z,1,4,Mid marsh,95,60,60,1,10.3937895,vegetation,Spartina foliosa,1,1,60,33.63198127,-117.8857191,0.213109948,0.167464122,0.267605633
160,Newport Bay,2,2023-09-15T00:00:00Z,1,5,Mid marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.63198817,-117.8856643,0.175988661,0.103448279,0.219298244
161,Newport Bay,2,2023-09-15T00:00:00Z,1,6,Mid marsh,90,51.642857142857146,79,7,72.75652652,vegetation,Spartina foliosa,10,1,70,33.63205569,-117.8855495,0.094515873,0,0.203389823
162,Newport Bay,2,2023-09-15T00:00:00Z,2,1,Low marsh,40,45.666666666666664,66,15,155.9068425,vegetation,Spartina foliosa,40,1,66,33.63205,-117.88551,0.04919339,0.017142856,0.106382981
163,Newport Bay,2,2023-09-15T00:00:00Z,2,2,Mid marsh,85,43.8,66,5,51.96894751,vegetation,Spartina foliosa,5,1,68,33.63208,-117.88549,0.093146205,0.011764706,0.157894731
164,Newport Bay,2,2023-09-15T00:00:00Z,2,3,High marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.632076,-117.885465,0.112154863,0.01734104,0.157894731
165,Newport Bay,2,2023-09-15T00:00:00Z,2,4,High marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.632055,-117.885429,0.078232619,0.014814815,0.141630903
166,Newport Bay,2,2023-09-15T00:00:00Z,2,5,High marsh,50,NA,NA,0,0,NA,NA,0,NA,NA,33.632048,-117.88535,0.02254366,0,0.055555556
167,Newport Bay,2,2023-09-15T00:00:00Z,2,6,High marsh,95,NA,NA,0,0,NA,NA,0,NA,NA,33.632053,-117.885187,0.0619528,0,0.122171946
168,Newport Bay,2,2023-09-16T00:00:00Z,3,1,Brackish marsh,85,71.8,84,5,51.96894751,vegetation,Spartina foliosa,10,1,84,33.63231877,-117.884964,0.136007591,0.037974682,0.234449759
169,Newport Bay,2,2023-09-16T00:00:00Z,3,2,Brackish marsh,60,NA,NA,0,0,NA,NA,0,NA,NA,33.63235545,-117.8849246,0.04614388,0,0.135802463
170,Newport Bay,2,2023-09-16T00:00:00Z,3,3,Brackish marsh,65,NA,NA,0,0,NA,NA,0,NA,NA,33.63238265,-117.884885,0.107762083,0,0.204301074
171,Newport Bay,3,2023-09-16T00:00:00Z,1,1,Low marsh,98,64.4375,86,8,83.15031602,vegetation,Spartina foliosa,5,1,86,33.64643,-117.88326,0.182645009,0.166666672,0.208791211
172,Newport Bay,3,2023-09-16T00:00:00Z,1,2,Low marsh,45,39.291666666666664,71.5,12,124.725474,vegetation,Spartina foliosa,25,1,71.5,33.64639,-117.88319,0.188420081,0.158878505,0.212121218
173,Newport Bay,3,2023-09-16T00:00:00Z,1,3,Low marsh,80,58.88461538461539,95,13,135.1192635,vegetation,Spartina foliosa,25,1,95,33.64635,-117.88311,0.185798042,0.155963302,0.210762337
174,Newport Bay,3,2023-09-16T00:00:00Z,1,4,Mid marsh,95,79.33333333333333,87,3,31.18136851,vegetation,Spartina foliosa,3,1,87,33.64633,-117.88302,0.211559181,0.200000003,0.227053136
175,Newport Bay,3,2023-09-16T00:00:00Z,1,5,Low marsh,85,73.2625,92,40,415.7515801,vegetation,Spartina foliosa,50,1,92,33.64628,-117.88294,0.18813581,0.170212761,0.212121218
176,Newport Bay,3,2023-09-16T00:00:00Z,1,6,Mid marsh,90,73.77272727272727,98.5,11,114.3316845,vegetation,Spartina foliosa,30,1,98.5,33.64623,-117.88287,0.157212231,0.129629627,0.173708916
177,Newport Bay,3,2023-09-16T00:00:00Z,2,1,Low marsh,90,NA,NA,0,0,NA,NA,0,NA,NA,33.645834,-117.882667,0.034248532,0,0.115789473
178,Newport Bay,3,2023-09-16T00:00:00Z,2,2,Mid marsh,95,79.5,85,2,20.78757901,vegetation,Spartina foliosa,5,1,85,33.645858,-117.882635,0.118401828,0.019607844,0.180180177
179,Newport Bay,3,2023-09-16T00:00:00Z,2,3,Mid marsh,90,NA,NA,0,0,NA,NA,0,NA,NA,33.645997,-117.882516,0.196731564,0.180487812,0.211267605
180,Newport Bay,3,2023-09-16T00:00:00Z,2,4,Mid marsh,70,34.5,40,2,20.78757901,vegetation,Spartina foliosa,5,1,43,33.645991,-117.882544,0.20233035,0.192488268,0.211538464
181,Newport Bay,3,2023-09-16T00:00:00Z,2,5,Mid marsh,90,57.142857142857146,62,7,72.75652652,vegetation,Spartina foliosa,20,1,70,33.646031,-117.882465,0.1620481,0.129411772,0.196261689
182,Newport Bay,3,2023-09-16T00:00:00Z,2,6,Mid marsh,75,77,95,8,83.15031602,vegetation,Spartina foliosa,30,1,110,33.64597,-117.883155,0.069429348,0.034782607,0.129032254
183,Newport Bay,3,2023-10-16T00:00:00Z,3,1,Low marsh,25,44.666666666666664,68,6,62.36273702,vegetation,Spartina foliosa,25,1,60,33.64567514,-117.882652,0.121710894,0.005847953,0.20408164
184,Newport Bay,3,2023-10-16T00:00:00Z,3,2,Low marsh,40,48.25,60,5.2,54.04770542,vegetation,Spartina foliosa,25,1,68,33.6456732,-117.8826084,0.199243236,0.171717167,0.236714974
185,Newport Bay,3,2023-10-16T00:00:00Z,3,3,Low marsh,85,78,92,4,41.57515801,vegetation,Spartina foliosa,25,1,102,33.64566158,-117.8825563,0.18356653,0.154929578,0.215686277
186,Newport Bay,3,2023-10-16T00:00:00Z,3,4,Low marsh,85,58.75,80,12,124.725474,vegetation,Spartina foliosa,40,1,86,33.64564617,-117.8825116,0.116447707,0.014084507,0.176470593
187,Newport Bay,3,2023-10-16T00:00:00Z,3,5,Low marsh,40,51.57142857142857,77,7,72.75652652,vegetation,Spartina foliosa,25,1,90,33.64563437,-117.8824631,0.044556931,0,0.090909094
